OID_;Codigo;Municipio;Total;Mas65;Porcentaje
966;22050;Barbuñales;100;43;43
967;42030;Barca;108;42;38,88888889
968;22051;Bárcabo;106;37;34,90566038
969;6016;Barcarrota;3498;772;22,06975415
970;8019;Barcelona;1636732;348738;21,30697023
971;34025;Bárcena de Campos;52;30;57,69230769
972;39009;Bárcena de Cicero;4399;796;18,0950216
973;39010;Bárcena de Pie de Concha;671;221;32,93591654
974;37042;Barceo;44;20;45,45454545
975;16029;Barchín del Hoyo;94;35;37,23404255
976;47013;Barcial de la Loma;86;43;50
977;49019;Barcial del Barco;241;100;41,49377593
978;45018;Barcience;940;79;8,404255319
979;5021;Barco de Ávila, El;2298;609;26,50130548
980;32009;Barco de Valdeorras, O;13384;2900;21,66766288
981;42031;Barcones;21;13;61,9047619
982;50044;Bardallur;254;87;34,2519685
983;39011;Bareyo;2129;457;21,46547675
984;45019;Bargas;10611;1584;14,927905
985;31047;Bargota;254;103;40,5511811
986;31048;Barillas;236;55;23,30508475
987;24011;Barjas;167;90;53,89221557
988;38007;Barlovento;1921;533;27,74596564
989;25042;Baronia de Rialb, La;229;72;31,44104803
990;12020;Barracas;185;41;22,16216216
991;44035;Barrachina;113;40;35,39823009
992;5022;Barraco, El;1973;567;28,73796249
993;10025;Barrado;363;116;31,95592287
994;2015;Barrax;1808;335;18,52876106
995;27005;Barreiros;3001;964;32,12262579
996;48014;Barrika;1554;341;21,94337194
997;9041;Barrio de Muñó;32;12;37,5
998;19050;Barriopedro;17;4;23,52941176
999;9043;Barrios de Bureba, Los;186;75;40,32258065
1000;9044;Barrios de Colina;51;19;37,25490196
1001;24012;Barrios de Luna, Los;308;100;32,46753247
1002;11008;Barrios, Los;23983;3220;13,42617688
1003;36002;Barro;3622;845;23,32965213
1004;5023;Barromán;181;63;34,80662983
1005;37044;Barruecopardo;443;172;38,8261851
1006;34027;Barruelo de Santullán;1187;380;32,01347936
1007;47014;Barruelo del Valle;47;23;48,93617021
1008;1013;Barrundia;895;185;20,67039106
1009;46046;Barx;1354;401;29,61595273
1010;46045;Barxeta;1604;379;23,62842893
1011;31049;Basaburua;838;196;23,38902148
